Title,Overall_income,Budget,Rating,Genre,Languages,Countries,Countries_GDP
The Gentlemen,113152222,22000000,R,Action,['English'],"['United Kingdom', 'United States']",30281702000000.0
Boonie Bears: Blast Into The Past,112294128,0,G,Adventure,"['English', 'Mandarin']",['China'],17700899000000.0
Pet Sematary,111809732,21000000,R,Horror,['English'],['United States'],26949643000000.0
Good Boys,111174248,20000000,R,Comedy,['English'],['United States'],26949643000000.0
Chong Ai,99550700,0,,Romantic Comedy,['Mandarin'],['China'],17700899000000.0
Shi Tu Xing Zhe 2 Die Ying Xing Dong,98444408,0,,Action,['Cantonese'],['China'],17700899000000.0
The Hustle,97389568,21000000,PG-13,Comedy,['English'],['United States'],26949643000000.0
Scary Stories to Tell in the Dark,95592669,28000000,PG-13,Horror,['English'],"['Canada', 'United States']",29067448000000.0
Xīn xǐjù zhī wáng,92796952,0,G,Comedy,['Mandarin'],['China'],17700899000000.0
Five Feet Apart,92554209,7000000,PG-13,Drama,['English'],['United States'],26949643000000.0
Crawl,91720490,17000000,R,Horror,['English'],['United States'],26949643000000.0
Rambo: Last Blood,91378886,50000000,R,Action,['English'],"['Hong Kong', 'United States']",27335189000000.0
Jojo Rabbit,86878073,14000000,PG-13,Black Comedy,['English'],"['Germany', 'United States']",31379481000000.0
Qu'est-ce qu'on a encore fait au bon dieu?,86661493,0,,Comedy,"['French', 'Hebrew', 'Portuguese']",['France'],3049016000000.0
Wan Pīsu Sutanpīdo,84372182,0,,Adventure,['Japanese'],['Japan'],4230862000000.0
A Dog’s Way Home,81152505,61000000,PG,Drama,['English'],['United States'],26949643000000.0
A Dog’s Journey,78867205,16000000,PG,Drama,['English'],['United States'],26949643000000.0
Cats,75568568,100000000,PG,Musical,['English'],"['United Kingdom', 'United States']",30281702000000.0
Tyler Perry’s A Madea Family Funeral,74781999,20000000,PG-13,Comedy,['English'],['United States'],26949643000000.0
Charlie’s Angels,73235048,48000000,PG-13,Action,['English'],['United States'],26949643000000.0
Doctor Sleep,71720838,45000000,R,Horror,['English'],['United States'],26949643000000.0
What Men Want,69911903,20000000,R,Romantic Comedy,['English'],['United States'],26949643000000.0
A Beautiful Day in the Neighborhood,68590003,45000000,PG,Drama,['English'],['United States'],26949643000000.0
Bai She: Yuan Qi,68364730,0,,Drama,['Mandarin'],"['China', 'United States']",44650542000000.0
ek-si-teu,67043823,0,,Adventure,['Korean'],['South Korea'],1709232000000.0
Happy Death Day 2U,64686515,9000000,PG-13,Thriller/Suspense,['English'],"['Japan', 'United States']",31180505000000.0
Eiga Doraemon: Nobita no Getsumen Tansaki,63191904,0,,Adventure,"['Japanese', 'Korean']","['Japan', 'South Korea']",5940094000000.0
Cold Pursuit,62599159,60000000,R,Thriller/Suspense,['English'],['United States'],26949643000000.0
Bombshell,61404394,32000000,R,Drama,['English'],"['Canada', 'United States']",29067448000000.0
Playing with Fire,61236720,0,PG,Comedy,['English'],['United States'],26949643000000.0
MA,61220784,5000000,R,Horror,['English'],['United States'],26949643000000.0
Wo Wei Xiong Di Kuang,60006412,0,G,Drama,['Mandarin'],['China'],17700899000000.0
Baekdusan,59505509,17700000,,Action,['Korean'],['South Korea'],1709232000000.0
After,57926850,14000000,PG-13,Drama,['English'],['United States'],26949643000000.0
Zhu Xian,56911144,0,G,Action,['Mandarin'],['China'],17700899000000.0
Ready or ,56785851,6000000,R,Black Comedy,['English'],['United States'],26949643000000.0
Das Perfekte Geheimnis,56532065,0,,Romantic Comedy,['German'],['Germany'],4429838000000.0
Da Ren Wu,56040680,0,G,Thriller/Suspense,['Mandarin'],['China'],17700899000000.0
Hellboy,53956480,50000000,R,Horror,['English'],['United States'],26949643000000.0
Long Shot,53624424,40000000,R,Romantic Comedy,['English'],['United States'],26949643000000.0
Song of Youth,50885008,0,G,Drama,['Mandarin'],['China'],17700899000000.0
Kholop,50590362,0,,Comedy,['Russian'],['Russia'],1862470000000.0
Kingudamu,50573876,0,R,Drama,['Japanese'],['Japan'],4230862000000.0
Just Mercy,50394773,25000000,PG-13,Drama,['English'],['United States'],26949643000000.0
Luo Xiaohei zhan ji,50330655,0,G,Adventure,['Mandarin'],['China'],17700899000000.0
Uncut Gems,50023780,0,R,Thriller/Suspense,['English'],['United States'],26949643000000.0
The Grudge,49503117,10000000,R,Horror,['English'],['United States'],26949643000000.0
Breakthrough,49231674,14000000,PG,Drama,['English'],['United States'],26949643000000.0
Little,49207917,0,PG-13,Comedy,['English'],['United States'],26949643000000.0
Isn’t it Romantic,48791187,31000000,PG-13,Romantic Comedy,['English'],['United States'],26949643000000.0
Queen & Slim,48266163,20000000,R,Drama,['English'],['United States'],26949643000000.0
Shaun the Sheep Movie: Farmageddon,47862290,0,G,Adventure,['English'],"['France', 'United Kingdom', 'United States']",33330718000000.0
47 Meters Down: Uncaged,47582563,12000000,PG-13,Thriller/Suspense,['English'],"['United Kingdom', 'United States']",30281702000000.0
Midsommar,46739562,9000000,R,Horror,"['English', 'Swedish']","['Sweden', 'United States']",27546753000000.0
Zhui Long 2: Zhui Ji Da Fu Hao,45738461,0,,Action,['Cantonese'],['Hong Kong'],385546000000.0
Judy,45495000,0,PG-13,Drama,['English'],['United Kingdom'],3332059000000.0
Harriet,44035587,17000000,PG-13,Drama,['English'],['United States'],26949643000000.0
Child’s Play,43499580,0,R,Horror,['English'],['United States'],26949643000000.0
Richard Jewell,43092210,45000000,R,Drama,['English'],['United States'],26949643000000.0
21 Bridges,42657631,33000000,R,Thriller/Suspense,['English'],['United States'],26949643000000.0
Countdown,42176201,6500000,PG-13,Horror,['English'],['United States'],26949643000000.0
Masukarêdo hoteru,41885312,0,,Action,['Japanese'],['Japan'],4230862000000.0
Fighting With My Family,41503088,11000000,PG-13,Comedy,['English'],"['United Kingdom', 'United States']",30281702000000.0
The Intruder,40597401,8000000,PG-13,Thriller/Suspense,['English'],['United States'],26949643000000.0
Dolor y gloria,39837366,10800000,R,Drama,['Spanish'],['Spain'],1582054000000.0
Wei Da De Yuan Wang,39757804,0,G,Drama,['Mandarin'],['China'],17700899000000.0
Minha Mãe é uma Peça 3: O Filme,39273020,0,,Comedy,['Portuguese'],['Brazil'],2126809000000.0
Underwater,39177495,65000000,PG-13,Thriller/Suspense,['English'],['United States'],26949643000000.0
Overcomer,38093564,5000000,PG,Drama,['English'],['United States'],26949643000000.0
Bloodshot,37163054,45000000,PG-13,Action,['English'],['United States'],26949643000000.0
Fan Zui Xian Chang,37092694,0,G,Action,['Cantonese'],['China'],17700899000000.0
Warriors of Honor,36090000,0,G,Drama,['Mandarin'],['China'],17700899000000.0
Konfidensu Man JP The Movie,35762324,0,,Drama,['Japanese'],['Japan'],4230862000000.0
Bongodong Jeontoo,34518596,0,,Drama,['Korean'],['South Korea'],1709232000000.0
Nappeun Nyeoseokdeul: Deo Moobi,34307303,0,,Drama,['Korean'],['South Korea'],1709232000000.0
The Art of Racing in the Rain,33773963,18000000,PG,Drama,['English'],['United States'],26949643000000.0
The Good Liar,33209936,10000000,R,Thriller/Suspense,['English'],['United States'],26949643000000.0
BrightBurn,33183640,7000000,R,Horror,['English'],['United States'],26949643000000.0
Anna,32825217,30000000,R,Action,"['English', 'Russian']",['France'],3049016000000.0
Tonde Saitama,32802348,0,,Drama,['Japanese'],['Japan'],4230862000000.0
UglyDolls,32630599,45000000,PG,Adventure,['English'],['United States'],26949643000000.0
Kioku ni Gozaimasen,32333512,0,,Comedy,['Japanese'],['Japan'],4230862000000.0
Da Yue Zai Dong Ji,32227828,0,,Drama,['Mandarin'],['China'],17700899000000.0
Liang Zhi Lao Hu,32007253,0,G,Black Comedy,['Mandarin'],['China'],17700899000000.0
The Queen's Corgi,31550316,0,PG,Adventure,['English'],['Belgium'],627511000000.0
Shou Yi Ren,31188559,0,,Drama,['Mandarin'],['China'],17700899000000.0
Nan Fang Che Zhan De Ju Hui,31087341,0,,Thriller/Suspense,['Mandarin'],"['China', 'France']",20749915000000.0
Pinocchio,30360375,13200000,PG-13,Adventure,['Italian'],['Italy'],2186082000000.0
Boku no Hīrō Akademia The Movie Hīrōzu: Raijingu,30017163,0,PG-13,Adventure,['Japanese'],['Japan'],4230862000000.0
Gekijô-ban poketto monsutâ - Myûtsû no gyakushû Evolution,29753435,0,,Action,"['English', 'Japanese']",['Japan'],4230862000000.0
Stuber,29634023,16000000,R,Comedy,['English'],['United States'],26949643000000.0
Yi wen ding qing,29083287,0,G,Romantic Comedy,['Mandarin'],"['China', 'Taiwan']",18452829000000.0
The Kid Who Would Be King,28296983,59000000,PG,Adventure,['English'],['United Kingdom'],3332059000000.0
82 nyeonsaeng kimjiyeong,27728277,0,,Drama,['Korean'],['South Korea'],1709232000000.0
Ban Ge Xi Ju,27410000,0,G,Romantic Comedy,['Mandarin'],['China'],17700899000000.0
No Manches Frida 2,26377799,0,R,Comedy,['Spanish'],['United States'],26949643000000.0
Akinjeon,25561514,0,,Action,['Korean'],['South Korea'],1709232000000.0
Hello World,25479860,0,,Drama,['Japanese'],['Japan'],4230862000000.0
The Farewell,25466013,3000000,PG,Drama,"['English', 'Italian', 'Japanese', 'Mandarin']",['United Kingdom'],3332059000000.0
Missing Link,25393236,0,PG,Adventure,['English'],['Canada'],2117805000000.0
Chen Mo Zheng Ren,25293852,0,G,Thriller/Suspense,"['Cantonese', 'Mandarin']","['China', 'Hong Kong']",18086445000000.0
Booksmart,24948141,6000000,R,Comedy,['English'],['United States'],26949643000000.0
Don,24945222,0,,Drama,['Korean'],['South Korea'],1709232000000.0
Tian Huo Wei Qing,24825246,0,G,Action,"['English', 'Mandarin']",['China'],17700899000000.0
Nous finirons ensemble,23470091,0,,Romantic Comedy,['French'],"['Belgium', 'France']",3676527000000.0
Zhi You Yun Zhi Dao,23414292,0,,Drama,['Mandarin'],['China'],17700899000000.0
The Peanut Butter Falcon,23191551,6200000,PG-13,Adventure,['English'],['United States'],26949643000000.0
Dark Waters,23106971,0,PG-13,Drama,['English'],['United States'],26949643000000.0
Gekijoban Ossan zu Rabu Love or Dead,23027976,0,,,['Japanese'],['Japan'],4230862000000.0
Sidong,22940076,0,,Drama,['Korean'],['South Korea'],1709232000000.0
Shéntàn púsōng líng,22799838,0,,Action,['Mandarin'],['China'],17700899000000.0
Black and Blue,22730144,12000000,R,Action,['English'],['United States'],26949643000000.0
The Prodigy,22413145,6000000,R,Horror,['English'],"['Hong Kong', 'United States']",27335189000000.0
Late Night,22373378,4000000,R,Comedy,['English'],['United States'],26949643000000.0
Unplanned,21413603,6000000,R,Drama,['English'],['United States'],26949643000000.0
Shaft,21360215,30000000,R,Comedy,['English'],['United States'],26949643000000.0
Kajang Botongui Yeonae,21253248,0,,Romantic Comedy,['Korean'],['South Korea'],1709232000000.0
